Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
,971868919,19/06/2025 11:21,19/06/2025 12:03,GBPUSD,Buy,0.060,1.34247,0.00000,1.34169,1.34247,0.0000,0.0000,7.8,4.08,0.14,"DoIt GBP Master GID=105[sl 1.34247]",11111,00:00:41:58,100.0,41m,23.8,0.03,31.6,16.432000000000002,0.0,0.0,100.0,24.7,-23.80,-12.38
,971868911,19/06/2025 11:21,19/06/2025 12:03,GBPUSD,Buy,0.060,1.34247,0.00000,1.34169,1.34247,0.0000,0.0000,7.8,4.08,0.15,"DoIt GBP Master GID=105[sl 1.34247]",11111,00:00:41:58,100.0,41m,23.8,0.03,31.6,16.432000000000002,0.0,0.0,100.0,24.7,-23.80,-12.38
,971868907,19/06/2025 11:21,19/06/2025 12:03,GBPUSD,Buy,0.070,1.34247,0.00000,1.34169,1.34247,0.0000,0.0000,7.8,4.76,0.17,"DoIt GBP Master GID=105[sl 1.34247]",11111,00:00:41:59,100.0,41m,23.8,0.03,31.6,19.276,0.0,0.0,100.0,24.7,-23.80,-14.52
,971868902,19/06/2025 11:21,19/06/2025 12:03,GBPUSD,Buy,0.070,1.34247,0.00000,1.34169,1.34245,0.0000,0.0000,7.6,4.63,0.17,"DoIt GBP Master GID=105[sl 1.34247]",11111,00:00:41:59,100.0,41m,24.0,0.03,31.6,19.276,0.0,0.0,100.0,24.1,-24.00,-14.64
,971868890,19/06/2025 11:21,19/06/2025 12:03,GBPUSD,Buy,0.070,1.34247,0.00000,1.34169,1.34247,0.0000,0.0000,7.8,4.76,0.17,"DoIt GBP Master GID=105[sl 1.34247]",11111,00:00:41:59,100.0,41m,23.8,0.03,31.6,19.276,0.0,0.0,100.0,24.7,-23.80,-14.52
,971868875,19/06/2025 11:21,19/06/2025 12:03,GBPUSD,Buy,0.070,1.34247,0.00000,1.34171,1.34245,0.0000,0.0000,7.4,4.51,0.16,"DoIt GBP Master GID=105[sl 1.34247]",11111,00:00:41:59,100.0,41m,24.0,0.03,31.4,19.154,0.0,0.0,100.0,23.6,-24.00,-14.64
,970449386,18/06/2025 19:03,19/06/2025 12:03,GBPUSD,Buy,0.050,0.00000,0.00000,1.34760,1.34247,0.0000,-0.7300,-51.3,-23.08,-0.82,"DoIt GBP Master GID=384",11111,00:17:00:40,0.0,0s,88.3,88.50,0.0,0.0,-88.3,-38.852,0.0,41.9,-51.30,-22.57
,929187334,21/05/2025 11:54,19/06/2025 09:12,GBPUSD,Sell,0.020,1.33914,0.00000,1.33939,1.33914,0.0000,-1.5000,2.5,-1.06,-0.04,"DoIt GBP Master",11111,28:21:17:56,0.2,1h 23m,234.7,94.34,2.5,0.44999999999999996,-234.7,-42.245999999999995,1.1,100.0,0.00,0.00
,860489098,18/06/2025 22:30,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,750.00,0,"Transfer from 37166552 33526310",0,00:00:00:00,,,,,,,,,,,,
,929187308,21/05/2025 11:54,17/06/2025 20:42,GBPUSD,Sell,0.020,0.00000,0.00000,1.33939,1.34622,0.0000,-1.3100,-68.3,-13.19,-0.63,"DoIt GBP Master",11111,27:08:48:49,0.0,0s,234.7,238.10,0.0,0.0,-234.7,-39.899,0.0,70.9,-68.30,-11.61
,967480366,17/06/2025 11:50,17/06/2025 13:12,GBPUSD,Sell,0.050,1.35491,0.00000,1.35531,1.35493,0.0000,0.0000,3.8,1.64,0.08,"DoIt GBP Master GID=55[sl 1.35491]",11111,00:01:21:04,12.5,10m,17.2,3.51,4.9,2.107,-17.2,-7.396,22.2,95.0,-1.10,-0.47
,967480363,17/06/2025 11:50,17/06/2025 13:12,GBPUSD,Sell,0.050,1.35491,0.00000,1.35531,1.35493,0.0000,0.0000,3.8,1.64,0.08,"DoIt GBP Master GID=55[sl 1.35491]",11111,00:01:21:04,12.5,10m,17.2,3.51,4.9,2.107,-17.2,-7.396,22.2,95.0,-1.10,-0.47
,967480359,17/06/2025 11:50,17/06/2025 13:12,GBPUSD,Sell,0.050,1.35491,0.00000,1.35531,1.35493,0.0000,0.0000,3.8,1.64,0.08,"DoIt GBP Master GID=55[sl 1.35491]",11111,00:01:21:04,12.5,10m,17.2,3.51,4.9,2.107,-17.2,-7.396,22.2,95.0,-1.10,-0.47
,967480349,17/06/2025 11:50,17/06/2025 13:12,GBPUSD,Sell,0.050,1.35491,0.00000,1.35531,1.35493,0.0000,0.0000,3.8,1.64,0.08,"DoIt GBP Master GID=55[sl 1.35491]",11111,00:01:21:05,12.5,10m,17.2,3.51,4.9,2.107,-17.2,-7.396,22.2,95.0,-1.10,-0.47
,967480345,17/06/2025 11:50,17/06/2025 13:12,GBPUSD,Sell,0.050,1.35491,0.00000,1.35531,1.35493,0.0000,0.0000,3.8,1.64,0.08,"DoIt GBP Master GID=55[sl 1.35491]",11111,00:01:21:05,12.5,10m,17.2,3.51,4.9,2.107,-17.2,-7.396,22.2,95.0,-1.10,-0.47
,967480337,17/06/2025 11:50,17/06/2025 13:12,GBPUSD,Sell,0.050,1.35491,0.00000,1.35531,1.35490,0.0000,0.0000,4.1,1.77,0.09,"DoIt GBP Master GID=55[sl 1.35491]",11111,00:01:21:05,12.5,10m,17.2,3.51,4.9,2.107,-17.2,-7.396,22.2,96.4,-0.80,-0.34
,965770817,16/06/2025 16:06,16/06/2025 16:37,GBPUSD,Buy,0.050,1.36002,0.00000,1.35921,1.36002,0.0000,0.0000,8.1,3.49,0.17,"DoIt GBP Master GID=965[sl 1.36002]",11111,00:00:31:10,3.3,1m,0.0,0.12,8.1,3.4829999999999997,0.0,0.0,100.0,100.0,0.00,0.00
,965770800,16/06/2025 16:06,16/06/2025 16:37,GBPUSD,Buy,0.050,1.36002,0.00000,1.35921,1.36002,0.0000,0.0000,8.1,3.49,0.17,"DoIt GBP Master GID=965[sl 1.36002]",11111,00:00:31:10,3.3,1m,0.0,0.12,8.1,3.4829999999999997,0.0,0.0,100.0,100.0,0.00,0.00
